Brand,Model,Year,Kilometer Driven (km),Fuel Type,Transmission Type,Location,Price (INR)
Hyundai,Creta,2005,198434,Petrol,Automatic,Mumbai,570234.9
Ford,Endeavour,2011,131000,Diesel,Manual,Pune,2280350.0
Honda,Jazz,2015,96115,Electric,Automatic,New Delhi,315582.75
Nissan,Magnite,2001,94096,CNG,Automatic,New Delhi,50000.0
BMW,3 Series,2014,128907,Petrol,Automatic,New Delhi,3500663.95
Maruti Suzuki,Swift,2008,145914,CNG,Manual,Chennai,50000.0
Mercedes,S-Class,2018,8240,CNG,Automatic,Ahmedabad,9618764.0
Toyota,Innova,2011,148336,Petrol,Automatic,Bangalore,877749.6
Toyota,Innova,2014,137637,Diesel,Automatic,Bangalore,1099354.45
Mercedes,C-Class,2000,61595,Electric,Manual,Bangalore,3810760.75
Ford,EcoSport,2005,187323,Electric,Manual,Ahmedabad,50000.0
Tata,Altroz,2007,10258,Diesel,Manual,Kolkata,50000.0
Honda,Civic,2019,70239,Electric,Manual,Hyderabad,439464.15
Mercedes,E-Class,2003,109674,Diesel,Manual,Hyderabad,5383548.9
BMW,3 Series,2017,100048,Electric,Manual,New Delhi,3654992.8
Tata,Altroz,2023,95118,Diesel,Automatic,Mumbai,565732.3
Maruti Suzuki,Swift,2017,143214,Electric,Automatic,New Delhi,178517.9
Nissan,Terrano,2014,27890,CNG,Automatic,Mumbai,775816.5
Honda,Jazz,2015,102471,Petrol,Automatic,Kolkata,204629.35
Honda,City,2000,79273,Diesel,Manual,Chennai,50000.0
Honda,Civic,2006,126826,Petrol,Automatic,Ahmedabad,50000.0
Ford,EcoSport,2019,117956,Diesel,Manual,Bangalore,512306.6
Hyundai,Elantra,2018,68379,CNG,Automatic,Bangalore,939743.15
Hyundai,Elantra,2010,83624,Petrol,Automatic,Pune,587456.4
Tata,Altroz,2011,194396,CNG,Automatic,Mumbai,50000.0
Tata,Nexon,2010,192496,Electric,Automatic,Kolkata,91125.6
Toyota,Fortuner,2015,75337,Diesel,Automatic,Ahmedabad,2988699.45
Hyundai,Verna,2002,199785,Petrol,Manual,Bangalore,50000.0
Nissan,Kicks,2020,33403,Diesel,Automatic,Kolkata,994989.55
BMW,X5,2019,23688,CNG,Manual,Pune,7696446.8
Ford,Fiesta,2000,7012,Diesel,Manual,Hyderabad,50000.0
Toyota,Innova,2000,8530,Diesel,Automatic,Hyderabad,368720.5
Ford,EcoSport,2000,26327,CNG,Manual,Chennai,50000.0
Ford,EcoSport,2021,7380,Diesel,Automatic,Hyderabad,618893.0
Nissan,Terrano,2005,137088,Petrol,Manual,Chennai,299436.8
Audi,Q5,2009,27215,Petrol,Automatic,Chennai,5195917.75
Hyundai,Elantra,2009,72686,Diesel,Automatic,Mumbai,569097.1
Audi,Q5,2024,164359,Petrol,Automatic,Ahmedabad,5925346.15
Nissan,Magnite,2021,67785,CNG,Automatic,Chennai,359832.25
Tata,Nexon,2012,31158,CNG,Automatic,Hyderabad,265326.3
Maruti Suzuki,Dzire,2009,75512,Electric,Automatic,Bangalore,50000.0
Mercedes,S-Class,2011,62964,Petrol,Automatic,Ahmedabad,9240555.4
BMW,X5,2011,198015,Electric,Automatic,Kolkata,7220297.75
BMW,3 Series,2020,34836,Electric,Automatic,Pune,3764774.6
Mercedes,C-Class,2011,169557,CNG,Automatic,Pune,4244566.45
Honda,Jazz,2001,108715,Petrol,Manual,Bangalore,50000.0
Nissan,Terrano,2022,165130,Diesel,Manual,Pune,1075230.5
Honda,Civic,2012,115524,Petrol,Automatic,Bangalore,50000.0
Toyota,Fortuner,2023,109055,Petrol,Manual,Bangalore,3433641.75
Hyundai,Verna,2003,135536,Diesel,Automatic,Ahmedabad,50000.0
Nissan,Magnite,2001,101075,CNG,Automatic,Ahmedabad,50000.0
Audi,Q5,2001,142329,Petrol,Manual,Ahmedabad,4808650.65
Nissan,Terrano,2014,163221,Electric,Automatic,Mumbai,725516.85
Honda,Jazz,2019,32558,Electric,Manual,Mumbai,465116.3
Hyundai,Elantra,2022,116174,Petrol,Automatic,Hyderabad,1182573.9
Toyota,Corolla,2014,59523,CNG,Automatic,Mumbai,641071.55
Ford,Endeavour,2002,105830,CNG,Manual,Pune,1834125.5
Nissan,Kicks,2012,122792,CNG,Automatic,Hyderabad,561581.2
Honda,City,2004,13187,Electric,Manual,Hyderabad,50000.0
Toyota,Corolla,2015,185194,Electric,Manual,Ahmedabad,702220.9
Audi,A6,2013,8767,Electric,Automatic,New Delhi,4998684.95
Toyota,Fortuner,2003,16619,Diesel,Manual,New Delhi,2477507.15
BMW,3 Series,2012,165969,Diesel,Manual,Hyderabad,3275104.65
Mercedes,E-Class,2016,69712,Petrol,Manual,Chennai,6019543.2
Nissan,Magnite,2013,120225,Electric,Automatic,New Delhi,51966.25
Toyota,Fortuner,2024,180948,CNG,Manual,Bangalore,3472857.8
Tata,Altroz,2001,37697,CNG,Automatic,Kolkata,50000.0
Honda,City,2008,51383,Petrol,Manual,Ahmedabad,92292.55
Honda,City,2000,111723,CNG,Manual,New Delhi,50000.0
Mercedes,S-Class,2001,113338,Diesel,Manual,Mumbai,8782999.3
BMW,X5,2009,48060,Diesel,Manual,Pune,7142791.0
Toyota,Innova,2006,111718,Diesel,Manual,Mumbai,653242.3
Nissan,Terrano,2009,157681,Petrol,Automatic,Kolkata,456347.85
Maruti Suzuki,Vitara Brezza,2015,47346,Petrol,Automatic,New Delhi,312898.1
Maruti Suzuki,Dzire,2005,19892,Diesel,Automatic,Bangalore,50000.0
Honda,City,2010,93297,Diesel,Manual,Pune,236005.45
BMW,3 Series,2015,181525,Electric,Automatic,Pune,3492771.25
Nissan,Kicks,2004,70046,Diesel,Automatic,New Delhi,189493.1
Maruti Suzuki,Swift,2005,50548,Diesel,Automatic,Mumbai,50000.0
BMW,X5,2010,168258,Petrol,Automatic,Pune,7244761.3
Nissan,Terrano,2018,180590,Diesel,Manual,Chennai,922911.5
Maruti Suzuki,Vitara Brezza,2003,42859,Electric,Automatic,Hyderabad,50000.0
BMW,3 Series,2024,179859,Electric,Automatic,Ahmedabad,3873021.15
Toyota,Corolla,2000,104251,CNG,Manual,Mumbai,50000.0
Honda,Civic,2020,154708,Diesel,Automatic,New Delhi,476793.8
Honda,Jazz,2005,185822,Diesel,Automatic,Mumbai,50000.0
Toyota,Corolla,2009,133070,Petrol,Automatic,Hyderabad,400039.5
BMW,X5,2023,175498,CNG,Manual,Bangalore,7893675.3
BMW,M3,2018,50823,Electric,Manual,Mumbai,7212376.55
Honda,Jazz,2017,65006,CNG,Automatic,New Delhi,360249.1
Ford,EcoSport,2004,127533,Petrol,Manual,Kolkata,50000.0
Maruti Suzuki,Swift,2004,79861,Petrol,Automatic,Bangalore,50000.0
Hyundai,Creta,2012,83937,CNG,Manual,Bangalore,887409.45
Tata,Nexon,2000,135562,Diesel,Manual,Kolkata,50000.0
Maruti Suzuki,Swift,2001,171793,Diesel,Manual,Hyderabad,50000.0
Mercedes,S-Class,2007,78849,Diesel,Manual,Pune,9038172.65
Mercedes,C-Class,2015,113559,Diesel,Manual,Bangalore,4532966.15
BMW,M3,2024,133976,Electric,Manual,Pune,7399903.6
BMW,M3,2015,91135,Diesel,Automatic,Ahmedabad,7016329.75
Maruti Suzuki,Swift,2014,151204,Petrol,Automatic,Mumbai,50000.0
Audi,Q5,2010,111759,Electric,Manual,Chennai,5203236.15
Mercedes,S-Class,2003,66280,Electric,Automatic,Chennai,8920058.0
Honda,City,2012,193141,Diesel,Manual,Chennai,321028.85
Maruti Suzuki,Dzire,2016,31601,Diesel,Manual,Pune,195259.85
Honda,Civic,2023,144701,Petrol,Manual,Pune,598294.85
Tata,Harrier,2000,156822,Diesel,Manual,Ahmedabad,376476.7
BMW,3 Series,2005,127512,Diesel,Automatic,Chennai,2980873.2
Nissan,Magnite,2018,161058,Diesel,Manual,Chennai,175841.3
Toyota,Innova,2024,91224,Diesel,Manual,Ahmedabad,1586316.4
BMW,M3,2024,152828,CNG,Manual,Hyderabad,7427075.8
Audi,Q5,2024,183869,CNG,Manual,Chennai,5972419.65
Maruti Suzuki,Dzire,2018,186337,CNG,Automatic,Pune,302049.45
Audi,A6,2002,110353,CNG,Manual,Bangalore,4403447.05
Toyota,Fortuner,2018,140803,Diesel,Manual,Hyderabad,3128879.55
Ford,Fiesta,2022,111583,Electric,Automatic,Bangalore,533262.55
Audi,A6,2018,188102,CNG,Manual,Pune,5101784.7
Audi,A6,2009,48307,CNG,Manual,Pune,4692753.95
Mercedes,E-Class,2004,54146,Diesel,Automatic,New Delhi,5511878.1
Nissan,Kicks,2000,38289,Petrol,Manual,Bangalore,50000.0
Maruti Suzuki,Dzire,2014,168662,CNG,Manual,Hyderabad,124700.7
BMW,X5,2007,18256,Diesel,Manual,Chennai,7147261.6
BMW,X5,2000,65284,Diesel,Automatic,Mumbai,6790207.4
Mercedes,S-Class,2020,171426,Petrol,Automatic,Bangalore,9824286.1
Toyota,Fortuner,2023,20019,Petrol,Automatic,Kolkata,3366997.15
Tata,Altroz,2020,64592,Electric,Manual,Pune,290311.2
Nissan,Terrano,2024,39440,Diesel,Manual,Hyderabad,1214084.0
Honda,Jazz,2008,158790,Electric,Automatic,Bangalore,50000.0
Ford,EcoSport,2021,101252,Electric,Automatic,Kolkata,554812.2
Ford,Fiesta,2024,85475,Petrol,Automatic,Mumbai,600000.0
Ford,Endeavour,2007,180876,Diesel,Manual,Ahmedabad,2102868.6
Mercedes,S-Class,2012,115970,Diesel,Manual,Pune,9352604.5
Audi,A4,2003,142798,Electric,Manual,Chennai,3398580.3
Hyundai,Elantra,2023,130668,Petrol,Manual,Chennai,1130399.8
Audi,A6,2007,157774,Electric,Automatic,Mumbai,4576333.9
BMW,M3,2022,127251,CNG,Manual,Kolkata,7330912.35
BMW,M3,2023,183111,Electric,Automatic,Chennai,7342533.35
Honda,Civic,2013,89475,Petrol,Automatic,New Delhi,156578.75
Hyundai,Creta,2003,153142,CNG,Manual,Hyderabad,397028.7
Maruti Suzuki,Swift,2005,143344,Petrol,Automatic,Chennai,50000.0
Honda,Jazz,2018,175574,Petrol,Manual,Bangalore,423663.9
Audi,A6,2006,94929,Petrol,Automatic,Pune,4535760.65
Ford,EcoSport,2007,193271,Electric,Manual,Bangalore,50000.0
Honda,Civic,2000,41808,Electric,Manual,Bangalore,50000.0
Nissan,Terrano,2023,150056,Electric,Automatic,Hyderabad,1177491.6
Tata,Altroz,2022,77605,Petrol,Manual,Pune,388359.25
Maruti Suzuki,Dzire,2012,23731,Petrol,Manual,Pune,50000.0
Honda,Civic,2007,80540,CNG,Automatic,Chennai,50000.0
Tata,Altroz,2000,129453,Diesel,Automatic,Ahmedabad,50000.0
Nissan,Magnite,2001,47270,Petrol,Manual,Ahmedabad,50000.0
Audi,A4,2005,193054,Diesel,Automatic,Kolkata,3491041.9
BMW,3 Series,2016,144588,CNG,Manual,Ahmedabad,3508311.8
Tata,Harrier,2009,93648,Petrol,Automatic,Mumbai,935952.8
Audi,Q5,2000,184431,Electric,Automatic,Pune,4742335.35
Tata,Altroz,2006,56103,Diesel,Automatic,Bangalore,50000.0
Mercedes,S-Class,2010,16721,CNG,Manual,Hyderabad,9267491.85
BMW,M3,2014,21994,Diesel,Automatic,Pune,6916700.9
Audi,Q5,2004,108720,Electric,Manual,Mumbai,4983692.0
BMW,3 Series,2003,143747,CNG,Manual,Ahmedabad,2848437.95
Ford,EcoSport,2017,190242,Petrol,Manual,Kolkata,321463.7
BMW,M3,2004,48332,Diesel,Automatic,New Delhi,6542750.2
Hyundai,Verna,2011,63220,Petrol,Manual,Chennai,140517.0
Ford,Fiesta,2001,17843,Petrol,Automatic,Mumbai,50000.0
Mercedes,S-Class,2021,149720,CNG,Automatic,Ahmedabad,9827542.0
Nissan,Terrano,2023,168685,CNG,Automatic,Bangalore,1224697.25
Audi,A4,2001,181498,Diesel,Manual,Mumbai,3272775.3
Hyundai,Elantra,2008,48772,Electric,Manual,Kolkata,412684.2
Toyota,Innova,2015,52166,Electric,Automatic,Mumbai,1112175.1
Hyundai,Elantra,2004,19206,Petrol,Manual,Bangalore,327119.1
Tata,Altroz,2001,58414,Diesel,Automatic,Mumbai,50000.0
Toyota,Corolla,2022,35029,Diesel,Automatic,Mumbai,1114745.65
Ford,Fiesta,2010,46980,Electric,Automatic,Ahmedabad,50000.0
Honda,Jazz,2010,110452,Electric,Automatic,Bangalore,50000.0
BMW,M3,2014,171436,CNG,Manual,Hyderabad,6944284.6
Audi,Q5,2013,109313,CNG,Manual,Hyderabad,5353603.05
Tata,Altroz,2022,170626,Petrol,Manual,Hyderabad,444406.1
BMW,X5,2002,168478,Diesel,Automatic,Bangalore,6894728.3
BMW,X5,2021,141746,Electric,Manual,Pune,7728738.1
Maruti Suzuki,Swift,2001,78964,Diesel,Automatic,Mumbai,50000.0
Audi,A4,2021,167391,Petrol,Automatic,Bangalore,4324891.35
Toyota,Corolla,2004,165816,Electric,Manual,Mumbai,175127.6
BMW,3 Series,2012,99499,Diesel,Manual,Chennai,3335075.15
Honda,Jazz,2007,6343,Diesel,Manual,Kolkata,50000.0
Audi,A6,2008,59596,CNG,Automatic,Ahmedabad,4641060.6
Ford,Endeavour,2002,180352,CNG,Manual,Ahmedabad,1822947.2
Audi,A6,2007,54630,CNG,Automatic,Kolkata,4561805.5
Toyota,Corolla,2024,106459,Electric,Manual,Mumbai,1184031.15
Hyundai,Elantra,2001,104001,CNG,Automatic,Chennai,84399.85
Maruti Suzuki,Vitara Brezza,2021,163464,Electric,Automatic,Ahmedabad,595480.4
BMW,X5,2006,181355,Diesel,Automatic,Bangalore,7042796.75
Tata,Altroz,2020,109954,Petrol,Manual,Mumbai,383506.9
Mercedes,S-Class,2002,79745,CNG,Automatic,Hyderabad,8838038.25
Nissan,Kicks,2019,104523,CNG,Automatic,Hyderabad,854321.55
Audi,A4,2002,37862,Petrol,Automatic,Ahmedabad,3324320.7
Audi,Q5,2019,18547,Petrol,Manual,Chennai,5677217.95
Tata,Harrier,2019,156435,Petrol,Automatic,Chennai,1346534.75
Toyota,Fortuner,2011,135097,Electric,Automatic,New Delhi,2799735.45
Ford,EcoSport,2023,103766,Electric,Automatic,Chennai,654435.1
Hyundai,Creta,2002,184139,Electric,Manual,New Delhi,372379.15
Tata,Altroz,2022,77633,Petrol,Manual,Mumbai,438355.05
Toyota,Innova,2015,55981,Electric,Manual,Chennai,1091602.85
BMW,X5,2005,127914,Diesel,Manual,Kolkata,6930812.9
Honda,City,2007,138903,CNG,Automatic,Kolkata,99164.55
Ford,Fiesta,2020,159131,CNG,Automatic,Pune,326130.35
Audi,Q5,2013,19013,Diesel,Manual,Hyderabad,5417148.05
Maruti Suzuki,Dzire,2013,188964,Diesel,Automatic,Bangalore,50000.0
Tata,Harrier,2013,191165,Electric,Automatic,Chennai,1101325.25
Tata,Altroz,2021,172438,Electric,Manual,Hyderabad,394134.3
Toyota,Fortuner,2011,187596,Electric,Manual,Kolkata,2791860.6
Ford,Endeavour,2024,95246,CNG,Automatic,Ahmedabad,2915713.1
Tata,Nexon,2015,116900,Electric,Manual,Ahmedabad,352465.0
Mercedes,C-Class,2014,27587,Diesel,Automatic,Mumbai,4545861.95
Maruti Suzuki,Dzire,2015,53672,Petrol,Manual,Pune,91949.2
Audi,Q5,2020,172748,Petrol,Automatic,Kolkata,5744087.8
Maruti Suzuki,Swift,2019,189676,Electric,Automatic,Mumbai,341548.6
Toyota,Fortuner,2019,68406,Electric,Automatic,Bangalore,3239739.1
Honda,City,2004,152835,Petrol,Automatic,Pune,50000.0
Tata,Altroz,2000,130456,CNG,Automatic,Chennai,50000.0
Audi,Q5,2011,26871,CNG,Manual,Ahmedabad,5295969.35
BMW,X5,2006,30807,Petrol,Automatic,New Delhi,7115378.95
BMW,X5,2023,10995,Petrol,Automatic,Mumbai,7998350.75
Toyota,Corolla,2023,39345,Diesel,Manual,Chennai,1114098.25
Hyundai,Elantra,2020,33189,Petrol,Manual,New Delhi,1095021.65
Ford,Endeavour,2022,87215,Diesel,Manual,Hyderabad,2836917.75
BMW,M3,2021,130590,Petrol,Automatic,Mumbai,7300411.5
Hyundai,Verna,2015,180717,Electric,Automatic,Bangalore,472892.45
BMW,X5,2014,71103,Diesel,Manual,Pune,7389334.55
Hyundai,Creta,2018,14317,Electric,Automatic,Mumbai,1167852.45
Maruti Suzuki,Swift,2003,44171,CNG,Automatic,Chennai,50000.0
Mercedes,S-Class,2019,73846,Diesel,Automatic,New Delhi,9738923.1
BMW,X5,2020,106087,Diesel,Automatic,New Delhi,7734086.95
Ford,Fiesta,2009,46596,CNG,Automatic,Hyderabad,50000.0
Nissan,Magnite,2002,188211,Petrol,Manual,New Delhi,50000.0
Honda,Civic,2021,46017,CNG,Manual,Hyderabad,523097.45
Mercedes,E-Class,2014,176604,Petrol,Automatic,Hyderabad,5923509.4
Tata,Altroz,2015,114996,Electric,Automatic,Kolkata,52750.6
BMW,X5,2019,68129,Petrol,Automatic,Bangalore,7689780.65
Hyundai,Elantra,2020,96639,Diesel,Automatic,Mumbai,1035504.15
Hyundai,Elantra,2005,33112,Petrol,Manual,Pune,295033.2
Mercedes,C-Class,2015,37633,CNG,Manual,Mumbai,4544355.05
Nissan,Terrano,2005,176077,Diesel,Manual,Chennai,223588.45
Maruti Suzuki,Swift,2004,134830,Diesel,Automatic,Bangalore,50000.0
Toyota,Innova,2010,108548,Petrol,Automatic,Chennai,783717.8
BMW,3 Series,2004,95201,Petrol,Manual,New Delhi,2985719.85
Maruti Suzuki,Swift,2019,159987,Electric,Automatic,Pune,296001.95
Hyundai,Verna,2007,37735,Electric,Automatic,Mumbai,50000.0
Tata,Altroz,2023,151756,Diesel,Automatic,Chennai,527236.6
Honda,City,2023,34549,Petrol,Automatic,Ahmedabad,914817.65
Ford,Fiesta,2017,77880,Electric,Automatic,Mumbai,218318.0
BMW,X5,2001,47875,Diesel,Manual,Mumbai,6792818.75
Tata,Nexon,2018,173977,Petrol,Automatic,Ahmedabad,523903.45
Honda,Jazz,2004,193910,Diesel,Manual,Bangalore,50000.0
BMW,M3,2010,183581,Petrol,Automatic,Mumbai,6802462.85
Nissan,Kicks,2024,59091,Diesel,Automatic,Bangalore,1191136.35
Ford,Fiesta,2005,123281,CNG,Manual,Pune,50000.0
Toyota,Fortuner,2013,14142,CNG,Automatic,New Delhi,2897878.7
BMW,M3,2003,125783,Diesel,Manual,Chennai,6401132.55
Nissan,Terrano,2015,119382,Diesel,Automatic,New Delhi,832092.7
BMW,M3,2024,152818,Petrol,Automatic,New Delhi,7427077.3
Maruti Suzuki,Dzire,2022,31251,Electric,Manual,Hyderabad,525312.35
Maruti Suzuki,Dzire,2022,20996,Electric,Manual,Mumbai,496850.6
Ford,Endeavour,2019,172913,CNG,Manual,Bangalore,2744063.05
Audi,Q5,2016,13427,Electric,Manual,Kolkata,5517985.95
BMW,M3,2008,75637,Diesel,Manual,New Delhi,6688654.45
Honda,Jazz,2003,149581,Diesel,Automatic,Kolkata,50000.0
Maruti Suzuki,Dzire,2023,31967,Petrol,Automatic,New Delhi,545204.95
Honda,Jazz,2018,163236,CNG,Manual,New Delhi,445514.6
Maruti Suzuki,Vitara Brezza,2002,130592,Diesel,Automatic,Pune,50000.0
Audi,A4,2013,28533,CNG,Manual,Bangalore,3925720.05
Audi,A4,2002,191142,Petrol,Manual,Chennai,3371328.7
Mercedes,E-Class,2007,101543,Petrol,Manual,Ahmedabad,5604768.55
Mercedes,C-Class,2018,90098,Diesel,Automatic,Chennai,4616485.3
Toyota,Innova,2014,13342,CNG,Automatic,Chennai,1047998.7
Maruti Suzuki,Vitara Brezza,2005,11614,Diesel,Automatic,Mumbai,50000.0
Audi,Q5,2013,178178,Diesel,Automatic,Pune,5323273.3
Toyota,Fortuner,2011,75784,Diesel,Automatic,Mumbai,2838632.4
Ford,Fiesta,2009,172309,Petrol,Automatic,Mumbai,50000.0
Ford,Endeavour,2007,79717,Petrol,Automatic,New Delhi,2108042.45
BMW,X5,2012,64608,Petrol,Manual,Mumbai,7370308.8
Ford,EcoSport,2007,25939,Diesel,Automatic,Kolkata,50000.0
Tata,Harrier,2010,13510,Diesel,Manual,Hyderabad,917973.5
Ford,Fiesta,2012,165565,Diesel,Automatic,Kolkata,50000.0
Mercedes,C-Class,2003,21153,Diesel,Automatic,Chennai,3896827.05
Maruti Suzuki,Vitara Brezza,2016,109550,Diesel,Manual,Ahmedabad,353567.5
Honda,Civic,2022,118987,Electric,Manual,Chennai,552151.95
Maruti Suzuki,Swift,2002,5700,CNG,Automatic,Pune,50000.0
Tata,Harrier,2008,142629,Petrol,Automatic,Pune,828605.65
Audi,Q5,2023,104920,Diesel,Automatic,Hyderabad,5884262.0
Tata,Altroz,2000,127924,Diesel,Automatic,Hyderabad,50000.0
Maruti Suzuki,Vitara Brezza,2017,169867,Petrol,Automatic,Ahmedabad,374519.95
Maruti Suzuki,Vitara Brezza,2020,71921,CNG,Manual,Bangalore,589211.85
Toyota,Corolla,2011,155849,Petrol,Automatic,Pune,476622.65
Ford,EcoSport,2014,170814,Diesel,Automatic,Hyderabad,244377.9
Mercedes,C-Class,2005,34995,CNG,Manual,Mumbai,4074750.75
Toyota,Fortuner,2016,89405,CNG,Automatic,Ahmedabad,3036589.25
Tata,Altroz,2013,65175,CNG,Automatic,Chennai,50000.0
Honda,Civic,2007,146748,Electric,Automatic,Kolkata,50000.0
Hyundai,Creta,2008,58312,CNG,Manual,Pune,641253.2
Hyundai,Elantra,2014,94452,CNG,Automatic,Chennai,785832.2
Honda,Jazz,2006,15502,CNG,Manual,Bangalore,50000.0
Mercedes,S-Class,2014,71180,CNG,Manual,Ahmedabad,9389323.0
Maruti Suzuki,Vitara Brezza,2023,146214,Petrol,Manual,Chennai,648067.9
Mercedes,S-Class,2020,124474,Diesel,Manual,Hyderabad,9701328.9
Tata,Harrier,2019,44735,Electric,Automatic,Ahmedabad,1413289.75
Ford,Endeavour,2008,121284,Petrol,Automatic,Bangalore,2181807.4
Nissan,Kicks,2021,109309,Petrol,Manual,New Delhi,1063603.65
Hyundai,Elantra,2021,70357,Electric,Manual,Hyderabad,1059446.45
Honda,Civic,2020,189133,Electric,Automatic,New Delhi,441630.05
Audi,A4,2000,97643,Electric,Automatic,New Delhi,3255353.55
Nissan,Kicks,2007,20270,Electric,Automatic,Bangalore,366959.5
Mercedes,S-Class,2015,32593,CNG,Manual,Mumbai,9545111.05
Nissan,Terrano,2000,150044,CNG,Manual,Mumbai,50000.0
Tata,Nexon,2010,109937,Electric,Manual,Bangalore,183509.45
BMW,3 Series,2002,76681,Diesel,Manual,Kolkata,2808497.85
Tata,Nexon,2008,153116,CNG,Automatic,Mumbai,97032.6
Mercedes,E-Class,2016,140030,Petrol,Automatic,New Delhi,6078995.5
Tata,Nexon,2012,24133,Electric,Manual,Pune,196380.05
Toyota,Fortuner,2005,72475,Petrol,Manual,Bangalore,2559128.75
Nissan,Terrano,2000,121964,Petrol,Manual,Bangalore,101705.4
Nissan,Kicks,2022,27170,CNG,Automatic,Mumbai,1065924.5
Maruti Suzuki,Swift,2009,53872,Petrol,Manual,Kolkata,50000.0
Maruti Suzuki,Swift,2001,23591,CNG,Manual,Mumbai,50000.0
BMW,X5,2018,65607,Petrol,Manual,Mumbai,7720158.95
Toyota,Fortuner,2019,150093,Electric,Automatic,Hyderabad,3197486.05
Audi,Q5,2024,80346,Electric,Manual,Bangalore,6000000.0
Toyota,Fortuner,2024,52914,Diesel,Manual,Ahmedabad,3492062.9
Ford,EcoSport,2023,182433,Electric,Automatic,Mumbai,722635.05
Nissan,Kicks,2016,34375,Electric,Automatic,Bangalore,744843.75
Audi,Q5,2022,74316,Petrol,Manual,Kolkata,5788852.6
Audi,A4,2013,42986,Petrol,Manual,Chennai,3863552.1
Toyota,Fortuner,2022,28092,CNG,Manual,Mumbai,3445786.2
Tata,Harrier,2004,114404,Petrol,Automatic,Pune,652839.4
Mercedes,E-Class,2007,116414,CNG,Manual,New Delhi,5652537.9
Toyota,Corolla,2010,179199,CNG,Automatic,Kolkata,373120.15
Toyota,Innova,2005,127138,CNG,Automatic,Kolkata,560929.3
Tata,Altroz,2023,157275,Petrol,Automatic,Mumbai,546408.75
Audi,Q5,2012,69908,Petrol,Manual,Pune,5289513.8
Maruti Suzuki,Vitara Brezza,2018,116194,Diesel,Automatic,Mumbai,462570.9
Maruti Suzuki,Dzire,2010,27194,Electric,Manual,Pune,50000.0
Tata,Altroz,2021,154353,Electric,Automatic,Chennai,426847.05
Toyota,Fortuner,2024,197790,Petrol,Manual,Kolkata,3420331.5
Toyota,Corolla,2012,166785,Electric,Manual,Hyderabad,544982.25
Hyundai,Creta,2000,160145,Electric,Manual,Mumbai,275978.25
BMW,X5,2000,170226,Electric,Manual,Bangalore,6774466.1
Tata,Nexon,2006,35905,Electric,Automatic,Kolkata,50000.0
BMW,X5,2019,159023,CNG,Manual,Hyderabad,7646146.55
Hyundai,Creta,2012,86433,Petrol,Manual,Mumbai,857035.05
Ford,Endeavour,2004,162399,Diesel,Manual,Pune,1875640.15
Hyundai,Elantra,2015,89124,Petrol,Automatic,Bangalore,836631.4
Honda,Jazz,2019,12063,Diesel,Automatic,Kolkata,478190.55
Ford,EcoSport,2011,60699,CNG,Manual,Bangalore,120895.15
Ford,Fiesta,2018,13404,Petrol,Manual,Ahmedabad,277989.4
Ford,Fiesta,2000,186312,Electric,Manual,Hyderabad,50000.0
Honda,Civic,2012,74767,Electric,Manual,Kolkata,88784.95
Toyota,Innova,2015,120722,Petrol,Automatic,Kolkata,1051891.7
Mercedes,C-Class,2008,41797,Petrol,Automatic,Mumbai,4193730.45
BMW,M3,2016,138823,Electric,Manual,Ahmedabad,7029176.55
Maruti Suzuki,Dzire,2012,152215,CNG,Manual,Hyderabad,50000.0
Hyundai,Creta,2009,11761,Diesel,Automatic,Hyderabad,648235.85
Maruti Suzuki,Dzire,2023,77875,Electric,Automatic,Chennai,488318.75
Audi,Q5,2004,60849,Diesel,Manual,Ahmedabad,4940872.65
Tata,Nexon,2014,137223,Petrol,Manual,Ahmedabad,279416.55
Toyota,Innova,2000,65811,Electric,Manual,Hyderabad,320128.35
Hyundai,Elantra,2001,171876,CNG,Automatic,Pune,104218.6
BMW,M3,2009,97777,Diesel,Manual,New Delhi,6735333.45
BMW,M3,2019,143359,CNG,Manual,Bangalore,7228496.15
Maruti Suzuki,Vitara Brezza,2011,187762,Electric,Manual,New Delhi,141835.7
Honda,Jazz,2024,139019,Petrol,Automatic,Kolkata,679147.15
Tata,Harrier,2011,151509,CNG,Automatic,Hyderabad,977273.65
BMW,X5,2007,19811,Diesel,Manual,New Delhi,7147028.35
Hyundai,Creta,2020,133440,Diesel,Automatic,Chennai,1199984.0
Mercedes,C-Class,2007,153412,Petrol,Automatic,Hyderabad,4096988.2
Ford,EcoSport,2007,76207,Diesel,Manual,Ahmedabad,50000.0
Nissan,Terrano,2008,180942,CNG,Manual,New Delhi,422858.7
Nissan,Kicks,2014,49010,Electric,Automatic,Bangalore,712648.5
Tata,Nexon,2011,105121,Electric,Manual,Chennai,234231.85
Hyundai,Elantra,2013,144772,CNG,Manual,Bangalore,728284.2
Toyota,Corolla,2012,122011,CNG,Manual,New Delhi,601698.35
Honda,City,2010,23464,Petrol,Manual,Chennai,196480.4
BMW,X5,2005,176068,CNG,Manual,Bangalore,6973589.8
BMW,X5,2009,141288,CNG,Automatic,Pune,7208806.8
Honda,Civic,2020,83419,Electric,Automatic,Kolkata,487487.15
Honda,Civic,2007,13300,Electric,Automatic,New Delhi,50000.0
Mercedes,C-Class,2001,65832,Electric,Manual,Bangalore,3820125.2
BMW,X5,2019,46880,Petrol,Automatic,New Delhi,7742968.0
